WORD,CATEGORY,WEIGHT
love,COLLECTIVISM,1
trust,COLLECTIVISM,1
do,COLLECTIVISM,1
act,COLLECTIVISM,1
faithful,COLLECTIVISM,1
care,COLLECTIVISM,1
respect,COLLECTIVISM,1
understand,COLLECTIVISM,1
deserve,COLLECTIVISM,1
loyal,COLLECTIVISM,1
actions,COLLECTIVISM,1
loving,COLLECTIVISM,1
caring,COLLECTIVISM,1
faith,COLLECTIVISM,1
accept,COLLECTIVISM,1
loyalty,COLLECTIVISM,1
trusting,COLLECTIVISM,1
praise,COLLECTIVISM,1
depend,COLLECTIVISM,1
willing,COLLECTIVISM,1
faithfulness,COLLECTIVISM,1
appreciate,COLLECTIVISM,1
honesty,COLLECTIVISM,1
