WORD,CATEGORY,WEIGHT
support,INDIVIDUALISM,1
community,INDIVIDUALISM,1
honor,INDIVIDUALISM,1
role,INDIVIDUALISM,1
required,INDIVIDUALISM,1
rules,INDIVIDUALISM,1
necessary,INDIVIDUALISM,1
